cycle,D_labor_income,D_adv_exposure,D_adv_cell,D_resources,MEAN_ADV_EXPOSURE,MEAN_RESOURCES,MEAN_LABOR_INCOME,MEAN_HOUSEHOLD_SIZE,TOTAL_SYNTHETIC_POPULATION,D_adv,D_wealth,D_employ,TRADES_COUNT_M,TRADES_MASS_M,TRADES,SORT_DROPOFF_COUNT_M,SORT_DROPOFF_MASS_M,SORT_DROPOFF_MASS_KG,BULKY_DROPOFF_COUNT_M,BULKY_DROPOFF_MASS_M,BULKY_DROPOFF_MASS_KG,REPAIRS_COUNT_M,MOVE_COUNT_M,MOVE_RATE_M,HOUSEHOLD_SIZE_CHANGE_COUNT_M,OBSERVED_CE_ACTIONS_M,CE_ACTION_RECOGNITION_OPPORTUNITIES_M,OBSERVED_CE_ACTION_RATE_M,N_HOUSEHOLDS,MEAN_LOCAL_CE_ACTIVATION,CE_INTENSITY,CE_MATERIAL_FLOW_NORM,CE_REPAIR_VISIT_NORM,CEI_SIM,UNEMPLOYMENT,R_gap,P_voice_corr
1,0.9436528441473027,0.13531401083854885,0.16797038561327762,0.30563172416816925,0.4860097914946108,80.85516695431585,0.2165606048213783,2.1185,8474.0,0.13531401083854885,0.30563172416816925,0.1065,2067,2638.2611722153642,2638.2611722153642,2067,2638.2611722153642,2638.2611722153642,0,0.0,0.0,1699,218,0.0545,8,1870,3766,0.4965480616038237,4000,0.0,0.0,0.21985509768459535,0.42475,0.30181305861075725,0.09547280412083865,0.01560694333599355,0.0
2,0.9853511043637734,0.13836557153619122,0.16797038561327762,0.3178990825456472,0.4889933242896342,77.8878117831799,0.05781463603095601,2.11875,8475.0,0.13836557153619122,0.3178990825456472,0.11,2057,3709.3326129978805,3709.3326129978805,2057,3709.3326129978805,3709.3326129978805,0,0.0,0.0,1730,202,0.0505,5,1876,3787,0.4953789279112754,4000,0.002543437087809187,0.002543437087809187,0.3091110510831309,0.4325,0.35846663064987855,0.09462300054025183,0.00891460494812446,0.0
3,0.9841890975526874,0.13915911313330445,0.16797038561327762,0.3313057621159365,0.4898826200429199,74.94364887941192,0.06462493167959983,2.1195,8478.0,0.13915911313330445,0.3313057621159365,0.09875,2092,4450.803692603297,4450.803692603297,2092,4450.803692603297,4450.803692603297,0,0.0,0.0,1772,138,0.0345,3,1920,3864,0.4968944099378882,4000,0.004527133723344475,0.004527133723344475,0.3709003077169105,0.443,0.3997401846301463,0.0940038972305478,0.013779928172386269,0.0
4,0.9862442560096502,0.14089320289389493,0.16797038561327762,0.34575613840482206,0.4915338084994196,72.02044362515136,0.055092787217535445,2.11975,8479.0,0.14089320289389493,0.34575613840482206,0.104,2211,4880.200957246104,4880.200957246104,2168,4693.320104616397,4693.320104616397,43,186.880852629702,186.880852629702,1715,156,0.039,11,1922,3926,0.48955680081507896,4000,0.0065548224474269645,0.0065548224474269645,0.40668341310380807,0.42875,0.41551004786228485,0.09376734928206573,0.01571268954509175,0.0
5,0.9903401237699055,0.14203354005392452,0.16797038561327762,0.36120831454013425,0.4925884415738137,69.11415741243371,0.03816546372939841,2.12075,8483.0,0.14203354005392452,0.36120831454013425,0.096,2310,5614.224343703631,5614.224343703631,2095,4649.174507978301,4649.174507978301,215,965.0498357253293,965.0498357253293,1779,139,0.03475,10,2031,4089,0.4966984592809978,4000,0.007983713355462172,0.007983713355462172,0.46785202864193026,0.44475,0.4586112171851581,0.09312083174222263,0.013337589784517156,0.0
6,0.9918505988502256,0.14258268012760542,0.16797038561327762,0.37745266062707705,0.493284908562047,66.25282164593843,0.026928473279671888,2.1215,8486.0,0.14258268012760542,0.37745266062707705,0.09325,2451,6334.942694049718,6334.942694049718,2097,4683.117293391556,4683.117293391556,354,1651.8254006581712,1651.8254006581712,1835,101,0.02525,9,2106,4286,0.4913672421838544,4000,0.009206823233601615,0.009206823233601615,0.5279118911707658,0.45875,0.5002471347024595,0.09249629297946312,0.014491420590582504,0.0
7,0.9930614957055681,0.14365346290387296,0.16797038561327762,0.39429358672614134,0.49437211493626787,63.44810252002032,0.024049290233556477,2.12325,8493.0,0.14365346290387296,0.39429358672614134,0.10025,2351,5969.618895988793,5969.618895988793,2155,4925.283637722026,4925.283637722026,196,1044.3352582667676,1044.3352582667676,1759,116,0.029,9,2065,4110,0.5024330900243309,4000,0.010335880708053033,0.010335880708053033,0.49746824133235795,0.43975,0.4743809447994148,0.09288428582800878,0.013876097366320894,0.0
8,0.9926641915268355,0.14384700289963137,0.16797038561327762,0.4118013684216912,0.4946342690955117,60.70719425431802,0.02683498457788061,2.12425,8497.0,0.14384700289963137,0.4118013684216912,0.1015,2876,8108.925816722258,8108.925816722258,2175,4844.279538237695,4844.279538237695,701,3264.6462784845544,3264.6462784845544,1826,100,0.025,14,2348,4702,0.4993619736282433,4000,0.011034844532304394,0.011034844532304394,0.6757438180601318,0.4565,0.5880462908360791,0.09117930563745882,0.011029928172386239,0.0
9,0.9925767264918064,0.14448725978710775,0.16797038561327762,0.42974460847998563,0.4954471517256394,58.042832340556544,0.028862809077403163,2.1245,8498.0,0.14448725978710775,0.42974460847998563,0.1035,2555,6943.807485323668,6943.807485323668,2139,4803.7279177301025,4803.7279177301025,416,2140.0795675935738,2140.0795675935738,1894,118,0.0295,15,2219,4449,0.49876376713868287,4000,0.011853066441322696,0.011853066441322696,0.5786506237769241,0.4735,0.5365903742661544,0.09195114438600768,0.009029928172386237,0.0
10,0.9927064808768424,0.14500572340259898,0.16797038561327762,0.4480504631220179,0.49605736912875104,55.45355185301361,0.027917134304011312,2.12575,8503.0,0.14500572340259898,0.4480504631220179,0.11175,2506,6744.340431409513,6744.340431409513,2201,5115.200350713835,5115.200350713835,305,1629.1400806956717,1629.1400806956717,1939,106,0.0265,9,2191,4445,0.49291338582677163,4000,0.012252560731052364,0.012252560731052364,0.5620283692840793,0.48475,0.5311170215704476,0.09203324467644329,0.024722466081404604,0.0
