cycle,D_labor_income,D_adv_exposure,D_adv_cell,D_resources,MEAN_ADV_EXPOSURE,MEAN_RESOURCES,MEAN_LABOR_INCOME,MEAN_HOUSEHOLD_SIZE,TOTAL_SYNTHETIC_POPULATION,D_adv,D_wealth,D_employ,TRADES_COUNT_M,TRADES_MASS_M,TRADES,SORT_DROPOFF_COUNT_M,SORT_DROPOFF_MASS_M,SORT_DROPOFF_MASS_KG,BULKY_DROPOFF_COUNT_M,BULKY_DROPOFF_MASS_M,BULKY_DROPOFF_MASS_KG,REPAIRS_COUNT_M,MOVE_COUNT_M,MOVE_RATE_M,HOUSEHOLD_SIZE_CHANGE_COUNT_M,OBSERVED_CE_ACTIONS_M,CE_ACTION_RECOGNITION_OPPORTUNITIES_M,OBSERVED_CE_ACTION_RATE_M,N_HOUSEHOLDS,MEAN_LOCAL_CE_ACTIVATION,CE_INTENSITY,CE_MATERIAL_FLOW_NORM,CE_REPAIR_VISIT_NORM,CEI_SIM,UNEMPLOYMENT,R_gap,P_voice_corr
1,0.9438261633245415,0.14117011323843995,0.17382060615387382,0.3055098362553846,0.46320281484336456,80.8990201875634,0.2152180714599191,2.1185,8474.0,0.14117011323843995,0.3055098362553846,0.11025,2308,3042.873942402821,3042.873942402821,2308,3042.873942402821,3042.873942402821,0,0.0,0.0,1988,261,0.06525,8,2168,4296,0.5046554934823091,4000,0.0,0.0,0.2535728285335473,0.497,0.3509436971201284,0.09473584454319808,0.016081811263318202,0.0
2,0.9879263374515302,0.14377128649619028,0.17382060615387382,0.31744252309846055,0.46588323573248197,78.01133366668775,0.04545104206786297,2.12,8480.0,0.14377128649619028,0.31744252309846055,0.105,2391,4500.511654231741,4500.511654231741,2391,4500.511654231741,4500.511654231741,0,0.0,0.0,2131,207,0.05175,6,2290,4522,0.5064130915524104,4000,0.002467754824556585,0.002467754824556585,0.3750426378526138,0.53275,0.43812558271156826,0.09342811625932648,0.028181126331811246,0.0
3,0.9859354446316243,0.14519519299166725,0.17382060615387382,0.33019737079480355,0.46757419634077646,75.2025763591479,0.05697629647120339,2.1205,8482.0,0.14519519299166725,0.33019737079480355,0.10825,2500,5059.575443877645,5059.575443877645,2500,5059.575443877645,5059.575443877645,0,0.0,0.0,2276,164,0.041,4,2309,4776,0.48345896147403683,4000,0.004864505037601691,0.004864505037601691,0.4216312869897686,0.569,0.48057877219386114,0.0927913184170921,0.020364916286149226,0.0
4,0.9891098838750018,0.14672793058292102,0.17382060615387382,0.34364615208190213,0.4691695650523877,72.45672563092465,0.03784617556272235,2.12125,8485.0,0.14672793058292102,0.34364615208190213,0.09825,2675,5670.5444400393835,5670.5444400393835,2640,5517.234438107803,5517.234438107803,35,153.3100019315808,153.3100019315808,2347,158,0.0395,7,2566,5022,0.5109518120270808,4000,0.006553642800311037,0.006553642800311037,0.47254537000324254,0.58675,0.5182272220019455,0.09222659166997083,0.015144216133942234,0.0
5,0.9916402757880255,0.1478167895646564,0.17382060615387382,0.3576267517394583,0.4703754769056356,69.80467457088244,0.030412698265238625,2.12175,8487.0,0.1478167895646564,0.3576267517394583,0.09525,3062,7161.102968202075,7161.102968202075,2748,5767.643206409339,5767.643206409339,314,1393.45976179273,1393.45976179273,2474,137,0.03425,4,2784,5536,0.5028901734104047,4000,0.00845949758918846,0.00845949758918846,0.5967585806834566,0.6185,0.605455148410074,0.0909181727738489,0.021949391171994015,0.0
6,0.9935775417168909,0.1493812246888282,0.17382060615387382,0.37175633055525975,0.4718309477831091,67.26327831335006,0.022891919126703516,2.12325,8493.0,0.1493812246888282,0.37175633055525975,0.09275,3232,7625.489916551763,7625.489916551763,2802,5664.7186273284215,5664.7186273284215,430,1960.771289223355,1960.771289223355,2533,129,0.03225,8,2869,5765,0.49765828274067647,4000,0.009884298303441164,0.009884298303441164,0.6354574930459272,0.63325,0.6345744958275563,0.09048138256258666,0.014555936073059383,0.0
7,0.9943162859232897,0.15080631414739065,0.17382060615387382,0.3859429057634368,0.47345773480975134,64.83112129570928,0.017288041584287536,2.12425,8497.0,0.15080631414739065,0.3859429057634368,0.0945,3168,7039.593186028806,7039.593186028806,2940,5861.1601354192,5861.1601354192,228,1178.4330506096117,1178.4330506096117,2727,149,0.03725,10,2975,5895,0.5046649703138253,4000,0.010936943053037848,0.010936943053037848,0.5866327655023515,0.68175,0.6246796593014109,0.09062980511047884,0.018894216133942154,0.0
8,0.993349979790377,0.15150105037681522,0.17382060615387382,0.40012313895313995,0.47426714550970445,62.53281921071507,0.01976108171264662,2.1245,8498.0,0.15150105037681522,0.40012313895313995,0.099,3921,9819.464189260589,9819.464189260589,3013,5854.81274111113,5854.81274111113,908,3964.6514481494346,3964.6514481494346,2750,124,0.031,9,3369,6671,0.5050217358716834,4000,0.011503600014599855,0.011503600014599855,0.8182886824383142,0.6875,0.7659732094629885,0.08851040185805517,0.011350076103500806,0.0
9,0.9936007968631443,0.15286550050180206,0.17382060615387382,0.41428376268237943,0.47588930104753907,60.353338212358125,0.021640312915355512,2.1245,8498.0,0.15286550050180206,0.41428376268237943,0.1025,3481,7573.831989115865,7573.831989115865,3102,5738.714999809032,5738.714999809032,379,1835.1169893068302,1835.1169893068302,2849,133,0.03325,10,3139,6330,0.49589257503949447,4000,0.01218534776623505,0.01218534776623505,0.6311526657596028,0.71225,0.6635915994557617,0.09004612600816359,0.007850076103500747,0.0
10,0.9945356816735246,0.15377996763101273,0.17382060615387382,0.4282113637873827,0.4769214665755752,58.293414818691005,0.01796263726635041,2.12525,8501.0,0.15377996763101273,0.4282113637873827,0.10625,3348,6786.782569338536,6786.782569338536,3114,5602.409162984535,5602.409162984535,234,1184.3734063539846,1184.3734063539846,2956,123,0.03075,9,3129,6304,0.4963515228426396,4000,0.012857904044840489,0.012857904044840489,0.5655652141114975,0.739,0.6349391284668986,0.09047591307299653,0.023125951293759606,0.0
11,0.9939983106442203,0.15441657066612616,0.17382060615387382,0.44187991068042903,0.4777664717217688,56.35323561427187,0.019564307175933812,2.12625,8505.0,0.15441657066612616,0.44187991068042903,0.09225,3551,7415.009080300916,7415.009080300916,3136,5516.719647174348,5516.719647174348,415,1898.2894331265684,1898.2894331265684,3034,130,0.0325,12,3220,6585,0.48899012908124523,4000,0.013373178124186926,0.013373178124186926,0.6179174233583582,0.7585,0.6741504540150149,0.08988774318977479,0.008967656012176528,0.0
12,0.9945660744825536,0.15567834378395967,0.17382060615387382,0.45510837508568597,0.4793491349995936,54.5410959427669,0.017173968944800243,2.1265,8506.0,0.15567834378395967,0.45510837508568597,0.1005,4151,9668.703676969384,9668.703676969384,3185,5500.886300298757,5500.886300298757,966,4167.817376670619,4167.817376670619,2992,153,0.03825,5,3553,7143,0.497410051798964,4000,0.013909584703020467,0.013909584703020467,0.8057253064140482,0.748,0.7826351838484289,0.08826047224227357,0.020504566210045594,0.0
13,0.9941870446050148,0.15685450711122007,0.17382060615387382,0.4676176053670059,0.4807822401159678,52.85665985829102,0.017566108637142783,2.12775,8511.0,0.15685450711122007,0.4676176053670059,0.09725,3876,8320.67660894586,8320.67660894586,3211,5324.49796884167,5324.49796884167,665,2996.1786401041927,2996.1786401041927,3087,135,0.03375,9,3437,6963,0.49360907654746516,4000,0.014036622708248413,0.014036622708248413,0.6933897174120972,0.77175,0.7247338304472584,0.08912899254329112,0.021471461187214658,0.0
14,0.9944110295051924,0.15749404850327606,0.17382060615387382,0.4793975632602618,0.4817791144228395,51.29448589570868,0.017562059469765422,2.12925,8517.0,0.15749404850327606,0.4793975632602618,0.09225,3538,6813.206641200274,6813.206641200274,3226,5356.121649978232,5356.121649978232,312,1457.0849912220567,1457.0849912220567,3090,147,0.03675,10,3344,6628,0.5045262522631261,4000,0.013883782546788414,0.013883782546788414,0.5677672200999755,0.7725,0.6496603320599853,0.09025509501910023,0.01810007610350073,0.0
15,0.9945749402888273,0.15817460125402028,0.17382060615387382,0.49063851109524553,0.4827266884360483,49.83589556873205,0.016857359585729263,2.13075,8523.0,0.15817460125402028,0.49063851109524553,0.105,3436,6123.387529741385,6123.387529741385,3241,5203.712161704329,5203.712161704329,195,919.6753680370648,919.6753680370648,3134,132,0.033,12,3205,6570,0.4878234398782344,4000,0.014409049382027441,0.014409049382027441,0.5102822941450729,0.7835,0.6195693764870438,0.09070645935269435,0.016765601217656023,0.0
16,0.993960339985851,0.15895254806516892,0.17382060615387382,0.5011985250908264,0.48373166271597656,48.48649615379474,0.01981968564807015,2.131,8524.0,0.15895254806516892,0.5011985250908264,0.1025,3486,6219.893394925056,6219.893394925056,3290,5336.499753945192,5336.499753945192,196,883.393640979871,883.393640979871,3166,132,0.033,7,3301,6652,0.49624173180998193,4000,0.014653066458373167,0.014653066458373167,0.5183244495770448,0.7915,0.6275946697462269,0.0905860799538066,0.02230974124809737,0.0
17,0.9931275118621722,0.15926914983661403,0.17382060615387382,0.5109711052183681,0.4843502642192881,47.2565437095712,0.024004983884477225,2.13075,8523.0,0.15926914983661403,0.5109711052183681,0.1045,4000,8175.026613279649,8175.026613279649,3318,5216.032151055054,5216.032151055054,682,2958.994462224594,2958.994462224594,3188,146,0.0365,5,3607,7188,0.5018085698386199,4000,0.015026269387647825,0.015026269387647825,0.6812522177732473,0.797,0.7275513306639484,0.08908673004004078,0.014982496194824946,0.0
18,0.9928609566852565,0.1599577645894243,0.17382060615387382,0.5200450241520973,0.4854408835463929,46.13320773534942,0.024525683521600068,2.131,8524.0,0.1599577645894243,0.5200450241520973,0.10475,3832,7346.704540562346,7346.704540562346,3325,5087.773851401357,5087.773851401357,507,2258.9306891609785,2258.9306891609785,3229,135,0.03375,13,3527,7061,0.49950431950148705,4000,0.014998682972835917,0.014998682972835917,0.6122253783801445,0.80725,0.6902352270280867,0.08964647159457871,0.017015601217655996,0.0
19,0.9912869317475297,0.16081138934847947,0.17382060615387382,0.5283685950985285,0.48651864849352294,45.109741036446096,0.027984115312880857,2.13175,8527.0,0.16081138934847947,0.5283685950985285,0.10275,3663,6348.9616218145975,6348.9616218145975,3347,4941.162751707295,4941.162751707295,316,1407.7988701073189,1407.7988701073189,3280,137,0.03425,9,3477,6943,0.5007921647702722,4000,0.015276938942199747,0.015276938942199747,0.5290801351511724,0.82,0.6454480810907034,0.09031827878363946,0.02738698630136982,0.0
