cycle,D_labor_income,D_adv_exposure,D_adv_cell,D_resources,MEAN_ADV_EXPOSURE,MEAN_RESOURCES,MEAN_LABOR_INCOME,MEAN_HOUSEHOLD_SIZE,TOTAL_SYNTHETIC_POPULATION,D_adv,D_wealth,D_employ,TRADES_COUNT_M,TRADES_MASS_M,TRADES,SORT_DROPOFF_COUNT_M,SORT_DROPOFF_MASS_M,SORT_DROPOFF_MASS_KG,BULKY_DROPOFF_COUNT_M,BULKY_DROPOFF_MASS_M,BULKY_DROPOFF_MASS_KG,REPAIRS_COUNT_M,MOVE_COUNT_M,MOVE_RATE_M,HOUSEHOLD_SIZE_CHANGE_COUNT_M,OBSERVED_CE_ACTIONS_M,CE_ACTION_RECOGNITION_OPPORTUNITIES_M,OBSERVED_CE_ACTION_RATE_M,N_HOUSEHOLDS,MEAN_LOCAL_CE_ACTIVATION,CE_INTENSITY,CE_MATERIAL_FLOW_NORM,CE_REPAIR_VISIT_NORM,CEI_SIM,UNEMPLOYMENT,R_gap,P_voice_corr
1,0.9436745333760713,0.13697195817851598,0.17154415530141728,0.3057671134079216,0.46524982735877257,80.86473457044858,0.21477065715717414,2.11725,8469.0,0.13697195817851598,0.3057671134079216,0.09925,2092,2694.3085734450465,2694.3085734450465,2092,2694.3085734450465,2694.3085734450465,0,0.0,0.0,1784,223,0.05575,5,1907,3876,0.4920020639834881,4000,0.0,0.0,0.22452571445373515,0.446,0.31311542867224107,0.09530326856991639,0.0,0.0
2,0.9854414928005754,0.13937313400274287,0.17154415530141728,0.31803649467454465,0.46781568668700435,77.91792817743455,0.057976241191045844,2.1185,8474.0,0.13937313400274287,0.31803649467454465,0.1085,2142,3987.838038372846,3987.838038372846,2142,3987.838038372846,3987.838038372846,0,0.0,0.0,1792,211,0.05275,7,1979,3934,0.5030503304524657,4000,0.002895152565849982,0.002895152565849982,0.3323198365310428,0.448,0.3785919019186257,0.09432112147122063,0.015441493456504918,0.0
3,0.9872315339009899,0.14060162448648644,0.17154415530141728,0.33140328706672983,0.46940340302072503,74.98763768102503,0.04963326720338171,2.12075,8483.0,0.14060162448648644,0.33140328706672983,0.098,2183,4722.725127497278,4722.725127497278,2183,4722.725127497278,4722.725127497278,0,0.0,0.0,1851,163,0.04075,13,2014,4034,0.4992563212692117,4000,0.005414064296951639,0.005414064296951639,0.393560427291407,0.46275,0.4212362563748442,0.09368145615437734,0.012854503464203249,0.0
4,0.9879814038928485,0.14218033295561616,0.17154415530141728,0.3457315989883862,0.47081760651567595,72.09292231029035,0.045024248164926124,2.12125,8485.0,0.14218033295561616,0.3457315989883862,0.0965,2236,5024.867729125815,5024.867729125815,2198,4860.246206644916,4860.246206644916,38,164.62152248089652,164.62152248089652,1965,149,0.03725,6,2126,4201,0.5060699833373007,4000,0.007206745666257935,0.007206745666257935,0.4187389774271163,0.49125,0.44774338645626977,0.09328384920315597,0.013584680523479609,0.0
5,0.9903752651897314,0.14304077755061098,0.17154415530141728,0.3609469255341964,0.4717266663361388,69.23520259959416,0.03428132547143344,2.1215,8486.0,0.14304077755061098,0.3609469255341964,0.0965,2529,6288.817572312966,6288.817572312966,2275,5150.89661554896,5150.89661554896,254,1137.920956763996,1137.920956763996,1980,131,0.03275,5,2231,4509,0.4947882013750277,4000,0.008737302110510055,0.008737302110510055,0.5240681310260368,0.495,0.512440878615622,0.09231338682076567,0.01743379522709776,0.0
6,0.9919979992803416,0.1441962835755629,0.17154415530141728,0.3767673494244548,0.47291773907942186,66.4417827747612,0.029550293947099713,2.12275,8491.0,0.1441962835755629,0.3767673494244548,0.10675,2699,6906.397476553871,6906.397476553871,2332,5226.091137363673,5226.091137363673,367,1680.30633919021,1680.30633919021,1993,118,0.0295,7,2326,4692,0.4957374254049446,4000,0.00983763674047875,0.00983763674047875,0.5755331230461079,0.49825,0.5446198738276649,0.09183070189258503,0.017961316397228644,0.0
7,0.9922900277219678,0.1453465952619915,0.17154415530141728,0.39311046659548765,0.4742694908471075,63.716282966961664,0.028288282381696724,2.1235,8494.0,0.1453465952619915,0.39311046659548765,0.105,2613,6490.791457954758,6490.791457954758,2393,5323.9315307987035,5323.9315307987035,220,1166.8599271560588,1166.8599271560588,2094,143,0.03575,9,2321,4707,0.49309538984491186,4000,0.010810811535907523,0.010810811535907523,0.5408992881628514,0.5235,0.5339395728977108,0.09199090640653435,0.021250962278675956,0.0
8,0.9939809180541265,0.1458729885781575,0.17154415530141728,0.40995901244904176,0.4750460344129398,61.061448369995205,0.02027483637201882,2.125,8500.0,0.1458729885781575,0.40995901244904176,0.1115,3150,8738.164670347414,8738.164670347414,2391,5259.376362487057,5259.376362487057,759,3478.788307860334,3478.788307860334,2119,141,0.03525,10,2590,5269,0.491554374644145,4000,0.011415408437344319,0.011415408437344319,0.7281803891955572,0.52975,0.6488082335173343,0.09026787649724,0.022449191685912195,0.0
9,0.9938490804260738,0.14655816358728915,0.17154415530141728,0.42721962452053563,0.4759421227787216,58.48745919132858,0.017698391056579374,2.12475,8499.0,0.14655816358728915,0.42721962452053563,0.09825,2817,7091.0362775878475,7091.0362775878475,2413,5051.421118411449,5051.421118411449,404,2039.6151591764012,2039.6151591764012,2170,117,0.02925,5,2462,4987,0.49368357730098256,4000,0.01189030386524501,0.01189030386524501,0.590919689798938,0.5425,0.5715518138793628,0.09142672279180956,0.016453618167821427,0.0
10,0.9932512321742953,0.148012588404986,0.17154415530141728,0.4447072554210694,0.4775433851047511,56.00490545026617,0.02081176037125451,2.1245,8498.0,0.148012588404986,0.4447072554210694,0.094,2741,6824.464287220175,6824.464287220175,2444,5249.64059448896,5249.64059448896,297,1574.8236927312034,1574.8236927312034,2120,153,0.03825,5,2463,4861,0.5066858671055339,4000,0.01272553547083609,0.01272553547083609,0.5687053572683005,0.53,0.5532232143609803,0.09170165178458531,0.013775211701308687,0.0
