run_group,scenario,scenario_label,parameter,parameter_value,replicate,seed,run_tag,run_dir,master_csv,duration_sec,status,error
scr_0613_0539,baseline,Baseline CE,move_prob,0.1,0,24680,Mp100_BL_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Mp100_BL_r0_baseline,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Mp100_BL_r0_baseline\MASTER_metrics.csv,110.75965819999692,ok,
scr_0613_0539,baseline,Baseline CE,move_prob,0.2,0,24680,Mp200_BL_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Mp200_BL_r0_baseline,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Mp200_BL_r0_baseline\MASTER_metrics.csv,111.09935309999855,ok,
scr_0613_0539,baseline,Baseline CE,eta_opp_scale,0.5,0,24680,Ep500_BL_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Ep500_BL_r0_baseline,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Ep500_BL_r0_baseline\MASTER_metrics.csv,110.34989909999422,ok,
scr_0613_0539,baseline,Baseline CE,eta_opp_scale,0.75,0,24680,Ep750_BL_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Ep750_BL_r0_baseline,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Ep750_BL_r0_baseline\MASTER_metrics.csv,109.97860969998874,ok,
scr_0613_0539,baseline,Baseline CE,eta_opp_scale,1.0,0,24680,Ep1000_BL_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Ep1000_BL_r0_baseline,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Ep1000_BL_r0_baseline\MASTER_metrics.csv,115.67368080001324,ok,
scr_0613_0539,baseline,Baseline CE,eta_opp_scale,1.25,0,24680,Ep1250_BL_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Ep1250_BL_r0_baseline,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Ep1250_BL_r0_baseline\MASTER_metrics.csv,109.00553950000904,ok,
scr_0613_0539,baseline,Baseline CE,eta_opp_scale,1.5,0,24680,Ep1500_BL_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Ep1500_BL_r0_baseline,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Ep1500_BL_r0_baseline\MASTER_metrics.csv,109.60708180000074,ok,
scr_0613_0539,baseline,Baseline CE,barrier_sensitivity_scale,0.5,0,24680,Rp500_BL_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Rp500_BL_r0_baseline,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Rp500_BL_r0_baseline\MASTER_metrics.csv,109.49265729999752,ok,
scr_0613_0539,baseline,Baseline CE,barrier_sensitivity_scale,0.75,0,24680,Rp750_BL_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Rp750_BL_r0_baseline,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Rp750_BL_r0_baseline\MASTER_metrics.csv,110.31683510000585,ok,
scr_0613_0539,baseline,Baseline CE,barrier_sensitivity_scale,1.0,0,24680,Rp1000_BL_r0,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Rp1000_BL_r0_baseline,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\scr_0613_0539_Rp1000_BL_r0_baseline\MASTER_metrics.csv,109.78979879998951,ok,
