run_group,scenario,scenario_label,parameter,parameter_value,replicate,seed,metric,metric_label,source_column,last_window,last_mean,initial,final,delta_final_minus_initial
scr_0613_0539,baseline,Baseline CE,beta_cei,-0.015,0,24680,TRADES_COUNT_M,K3 CE flows,TRADES_COUNT_M,24,3887.5833333333335,2071.0,3954.0,1883.0
scr_0613_0539,baseline,Baseline CE,beta_cei,-0.015,0,24680,UNEMPLOYMENT,K4 unemployment,UNEMPLOYMENT,24,0.09071342972874197,0.0953646988347031,0.090545129292656,-0.004819569542047097
scr_0613_0539,baseline,Baseline CE,beta_cei,-0.015,0,24680,D_adv_exposure,K5 spatial-advantage exposure inequality,D_adv_exposure,24,0.17083829604465697,0.1378939902695001,0.169882892127228,0.0319889018577279
scr_0613_0539,baseline,Baseline CE,beta_cei,-0.015,0,24680,D_resources,K6 economic-resource inequality,D_resources,24,0.3881065329196303,0.3056171879604059,0.3462237247658014,0.0406065368053955
scr_0613_0539,baseline,Baseline CE,beta_cei,-0.03,0,24680,MEAN_LOCAL_CE_ACTIVATION,K1 mean local CE activation,MEAN_LOCAL_CE_ACTIVATION,24,0.01718518408348589,0.0,0.0170427122992252,0.0170427122992252
scr_0613_0539,baseline,Baseline CE,beta_cei,-0.03,0,24680,CEI_SIM,K2 flow-based citywide CE index,CEI_SIM,24,0.6173831175449495,0.3090200776864584,0.6186351925605569,0.3096151148740985
scr_0613_0539,baseline,Baseline CE,beta_cei,-0.03,0,24680,TRADES_COUNT_M,K3 CE flows,TRADES_COUNT_M,24,3878.0,2071.0,3881.0,1810.0
scr_0613_0539,baseline,Baseline CE,beta_cei,-0.03,0,24680,UNEMPLOYMENT,K4 unemployment,UNEMPLOYMENT,24,0.08147850647365147,0.0907293976694062,0.0814409442231832,-0.009288453446223005
scr_0613_0539,baseline,Baseline CE,beta_cei,-0.03,0,24680,D_adv_exposure,K5 spatial-advantage exposure inequality,D_adv_exposure,24,0.17084217042597605,0.1378939902695001,0.1699139145111251,0.032019924241625
scr_0613_0539,baseline,Baseline CE,beta_cei,-0.03,0,24680,D_resources,K6 economic-resource inequality,D_resources,24,0.3571915282123868,0.3056171879604059,0.3193101021128839,0.01369291415247803
scr_0613_0539,baseline,Baseline CE,gamma_need_savings,0.0,0,24680,MEAN_LOCAL_CE_ACTIVATION,K1 mean local CE activation,MEAN_LOCAL_CE_ACTIVATION,24,0.020576712169786376,0.0,0.0199634953715551,0.0199634953715551
scr_0613_0539,baseline,Baseline CE,gamma_need_savings,0.0,0,24680,CEI_SIM,K2 flow-based citywide CE index,CEI_SIM,24,0.6194652532874749,0.3090200776864584,0.6193070940784462,0.3102870163919878
scr_0613_0539,baseline,Baseline CE,gamma_need_savings,0.0,0,24680,TRADES_COUNT_M,K3 CE flows,TRADES_COUNT_M,24,3888.5,2071.0,3881.0,1810.0
scr_0613_0539,baseline,Baseline CE,gamma_need_savings,0.0,0,24680,UNEMPLOYMENT,K4 unemployment,UNEMPLOYMENT,24,0.09070802120068784,0.0953646988347031,0.0907103935888233,-0.0046543052458798
scr_0613_0539,baseline,Baseline CE,gamma_need_savings,0.0,0,24680,D_adv_exposure,K5 spatial-advantage exposure inequality,D_adv_exposure,24,0.1706517902703605,0.1378939902695001,0.1694976093739214,0.03160361910442128
scr_0613_0539,baseline,Baseline CE,gamma_need_savings,0.0,0,24680,D_resources,K6 economic-resource inequality,D_resources,24,0.0002663274477015417,0.3056881995766165,0.0,-0.3056881995766165
scr_0613_0539,baseline,Baseline CE,gamma_need_savings,0.25,0,24680,MEAN_LOCAL_CE_ACTIVATION,K1 mean local CE activation,MEAN_LOCAL_CE_ACTIVATION,24,0.01796184293355231,0.0,0.0177825715160206,0.0177825715160206
scr_0613_0539,baseline,Baseline CE,gamma_need_savings,0.25,0,24680,CEI_SIM,K2 flow-based citywide CE index,CEI_SIM,24,0.6190488792710936,0.3090200776864584,0.6296515599996464,0.320631482313188
scr_0613_0539,baseline,Baseline CE,gamma_need_savings,0.25,0,24680,TRADES_COUNT_M,K3 CE flows,TRADES_COUNT_M,24,3880.375,2071.0,3933.0,1862.0
scr_0613_0539,baseline,Baseline CE,gamma_need_savings,0.25,0,24680,UNEMPLOYMENT,K4 unemployment,UNEMPLOYMENT,24,0.09071426681093357,0.0953646988347031,0.0905552266000053,-0.004809472234697798
scr_0613_0539,baseline,Baseline CE,gamma_need_savings,0.25,0,24680,D_adv_exposure,K5 spatial-advantage exposure inequality,D_adv_exposure,24,0.17005372988545772,0.1378939902695001,0.1691279439806321,0.031233953711131995
scr_0613_0539,baseline,Baseline CE,gamma_need_savings,0.25,0,24680,D_resources,K6 economic-resource inequality,D_resources,24,0.023506255571099356,0.305658599500363,0.0133595241747693,-0.2922990753255937
scr_0613_0539,baseline,Baseline CE,gamma_need_savings,0.5,0,24680,MEAN_LOCAL_CE_ACTIVATION,K1 mean local CE activation,MEAN_LOCAL_CE_ACTIVATION,24,0.018056631215059207,0.0,0.0175913960661073,0.0175913960661073
scr_0613_0539,baseline,Baseline CE,gamma_need_savings,0.5,0,24680,CEI_SIM,K2 flow-based citywide CE index,CEI_SIM,24,0.6197913058897216,0.3090200776864584,0.614976394697505,0.3059563170110466
scr_0613_0539,baseline,Baseline CE,gamma_need_savings,0.5,0,24680,TRADES_COUNT_M,K3 CE flows,TRADES_COUNT_M,24,3885.5,2071.0,3873.0,1802.0
scr_0613_0539,baseline,Baseline CE,gamma_need_savings,0.5,0,24680,UNEMPLOYMENT,K4 unemployment,UNEMPLOYMENT,24,0.09070313041165413,0.0953646988347031,0.0907753540795374,-0.004589344755165703
scr_0613_0539,baseline,Baseline CE,gamma_need_savings,0.5,0,24680,D_adv_exposure,K5 spatial-advantage exposure inequality,D_adv_exposure,24,0.17000059644946122,0.1378939902695001,0.1692236153251543,0.031329625055654176
scr_0613_0539,baseline,Baseline CE,gamma_need_savings,0.5,0,24680,D_resources,K6 economic-resource inequality,D_resources,24,0.23492182838908585,0.3056290163508777,0.2026746297141621,-0.10295438663671558
scr_0613_0539,baseline,Baseline CE,gamma_need_savings,0.6,0,24680,MEAN_LOCAL_CE_ACTIVATION,K1 mean local CE activation,MEAN_LOCAL_CE_ACTIVATION,24,0.018009254469126015,0.0,0.0179382978640079,0.0179382978640079
scr_0613_0539,baseline,Baseline CE,gamma_need_savings,0.6,0,24680,CEI_SIM,K2 flow-based citywide CE index,CEI_SIM,24,0.6191046847505338,0.3090200776864584,0.6303247138229335,0.32130463613647514
scr_0613_0539,baseline,Baseline CE,gamma_need_savings,0.6,0,24680,TRADES_COUNT_M,K3 CE flows,TRADES_COUNT_M,24,3887.5833333333335,2071.0,3954.0,1883.0
scr_0613_0539,baseline,Baseline CE,gamma_need_savings,0.6,0,24680,UNEMPLOYMENT,K4 unemployment,UNEMPLOYMENT,24,0.09071342972874197,0.0953646988347031,0.090545129292656,-0.004819569542047097
scr_0613_0539,baseline,Baseline CE,gamma_need_savings,0.6,0,24680,D_adv_exposure,K5 spatial-advantage exposure inequality,D_adv_exposure,24,0.17083829604465697,0.1378939902695001,0.169882892127228,0.0319889018577279
