run_group,experiment,scenario,scenario_label,replicate,seed,beta_cei,observability_prob,run_tag,run_dir,master_csv,k1_spatial_npz,duration_sec,status,error
r20260612_134238,main,ce_strong,Targeted CE expansion,2,12347,-0.015,0.5,m,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r002_m_ce_strong,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r002_m_ce_strong\MASTER_metrics.csv,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r002_m_ce_strong\K1_spatial_ce_intensity.npz,132.020324,ok,
r20260612_134238,main,ce_off,Linear reference,3,12348,-0.015,0.5,m,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r003_m_ce_off,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r003_m_ce_off\MASTER_metrics.csv,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r003_m_ce_off\K1_spatial_ce_intensity.npz,31.349577,ok,
r20260612_134238,main,ce_light,Low-intensity CE,3,12348,-0.015,0.5,m,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r003_m_ce_light,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r003_m_ce_light\MASTER_metrics.csv,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r003_m_ce_light\K1_spatial_ce_intensity.npz,112.495059,ok,
r20260612_134238,main,baseline,Status-quo CE,3,12348,-0.015,0.5,m,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r003_m_baseline,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r003_m_baseline\MASTER_metrics.csv,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r003_m_baseline\K1_spatial_ce_intensity.npz,125.101377,ok,
r20260612_134238,main,ce_strong,Targeted CE expansion,3,12348,-0.015,0.5,m,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r003_m_ce_strong,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r003_m_ce_strong\MASTER_metrics.csv,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r003_m_ce_strong\K1_spatial_ce_intensity.npz,270.379255,ok,
r20260612_134238,main,ce_off,Linear reference,4,12349,-0.015,0.5,m,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r004_m_ce_off,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r004_m_ce_off\MASTER_metrics.csv,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r004_m_ce_off\K1_spatial_ce_intensity.npz,156.898169,ok,
r20260612_134238,main,ce_light,Low-intensity CE,4,12349,-0.015,0.5,m,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r004_m_ce_light,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r004_m_ce_light\MASTER_metrics.csv,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r004_m_ce_light\K1_spatial_ce_intensity.npz,481.001537,ok,
r20260612_134238,main,baseline,Status-quo CE,4,12349,-0.015,0.5,m,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r004_m_baseline,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r004_m_baseline\MASTER_metrics.csv,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r004_m_baseline\K1_spatial_ce_intensity.npz,322.932993,ok,
r20260612_134238,main,ce_strong,Targeted CE expansion,4,12349,-0.015,0.5,m,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r004_m_ce_strong,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r004_m_ce_strong\MASTER_metrics.csv,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r004_m_ce_strong\K1_spatial_ce_intensity.npz,422.897087,ok,
r20260612_134238,main,ce_off,Linear reference,5,12350,-0.015,0.5,m,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r005_m_ce_off,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r005_m_ce_off\MASTER_metrics.csv,C:\Sanja_Cooperation_2\Journal_of_cleaner_production_revision\github_reposit\results\runs\r20260612_134238_m_r005_m_ce_off\K1_spatial_ce_intensity.npz,130.159593,ok,
