run_group,stage,experiment,scenario,replicate,seed,beta_cei,observability_prob,duration_sec,status
r20260612_134238,simulation,main,ce_light,19,12364,-0.015,0.5,95.135806,ok
r20260612_134238,simulation,main,baseline,19,12364,-0.015,0.5,116.690789,ok
r20260612_134238,simulation,main,ce_strong,19,12364,-0.015,0.5,122.483471,ok
r20260612_134238,simulation,main,ce_off,20,12365,-0.015,0.5,29.733287,ok
r20260612_134238,simulation,main,ce_light,20,12365,-0.015,0.5,99.672195,ok
r20260612_134238,simulation,main,baseline,20,12365,-0.015,0.5,115.812054,ok
r20260612_134238,simulation,main,ce_strong,20,12365,-0.015,0.5,124.164621,ok
r20260612_134238,simulation,main,ce_off,21,12366,-0.015,0.5,29.802008,ok
r20260612_134238,simulation,main,ce_light,21,12366,-0.015,0.5,95.859320,ok
r20260612_134238,simulation,main,baseline,21,12366,-0.015,0.5,119.683077,ok
r20260612_134238,simulation,main,ce_strong,21,12366,-0.015,0.5,120.189367,ok
r20260612_134238,simulation,main,ce_off,22,12367,-0.015,0.5,31.954962,ok
r20260612_134238,simulation,main,ce_light,22,12367,-0.015,0.5,98.182512,ok
r20260612_134238,simulation,main,baseline,22,12367,-0.015,0.5,111.398242,ok
r20260612_134238,simulation,main,ce_strong,22,12367,-0.015,0.5,126.173044,ok
r20260612_134238,simulation,main,ce_off,23,12368,-0.015,0.5,29.290061,ok
r20260612_134238,simulation,main,ce_light,23,12368,-0.015,0.5,100.668145,ok
r20260612_134238,simulation,main,baseline,23,12368,-0.015,0.5,113.832989,ok
r20260612_134238,simulation,main,ce_strong,23,12368,-0.015,0.5,120.776969,ok
r20260612_134238,simulation,main,ce_off,24,12369,-0.015,0.5,31.552951,ok
r20260612_134238,simulation,main,ce_light,24,12369,-0.015,0.5,101.343695,ok
r20260612_134238,simulation,main,baseline,24,12369,-0.015,0.5,110.540295,ok
r20260612_134238,simulation,main,ce_strong,24,12369,-0.015,0.5,124.646224,ok
r20260612_134238,simulation,main,ce_off,25,12370,-0.015,0.5,31.490648,ok
r20260612_134238,simulation,main,ce_light,25,12370,-0.015,0.5,96.151129,ok
r20260612_134238,simulation,main,baseline,25,12370,-0.015,0.5,114.909294,ok
r20260612_134238,simulation,main,ce_strong,25,12370,-0.015,0.5,118.194428,ok
r20260612_134238,simulation,main,ce_off,26,12371,-0.015,0.5,31.825216,ok
r20260612_134238,simulation,main,ce_light,26,12371,-0.015,0.5,101.064496,ok
r20260612_134238,simulation,main,baseline,26,12371,-0.015,0.5,115.794672,ok
r20260612_134238,simulation,main,ce_strong,26,12371,-0.015,0.5,125.305148,ok
r20260612_134238,simulation,main,ce_off,27,12372,-0.015,0.5,32.059796,ok
r20260612_134238,simulation,main,ce_light,27,12372,-0.015,0.5,98.598606,ok
r20260612_134238,simulation,main,baseline,27,12372,-0.015,0.5,110.907373,ok
r20260612_134238,simulation,main,ce_strong,27,12372,-0.015,0.5,126.128217,ok
r20260612_134238,simulation,main,ce_off,28,12373,-0.015,0.5,29.582141,ok
r20260612_134238,simulation,main,ce_light,28,12373,-0.015,0.5,96.393604,ok
r20260612_134238,simulation,main,baseline,28,12373,-0.015,0.5,116.242595,ok
r20260612_134238,simulation,main,ce_strong,28,12373,-0.015,0.5,121.353694,ok
r20260612_134238,simulation,main,ce_off,29,12374,-0.015,0.5,30.161614,ok
r20260612_134238,simulation,main,ce_light,29,12374,-0.015,0.5,100.543749,ok
r20260612_134238,simulation,main,baseline,29,12374,-0.015,0.5,115.366238,ok
r20260612_134238,simulation,main,ce_strong,29,12374,-0.015,0.5,118.614911,ok
r20260612_134238,simulation,main,ce_off,30,12375,-0.015,0.5,31.944404,ok
r20260612_134238,simulation,main,ce_light,30,12375,-0.015,0.5,100.320696,ok
r20260612_134238,simulation,main,baseline,30,12375,-0.015,0.5,110.685437,ok
r20260612_134238,simulation,main,ce_strong,30,12375,-0.015,0.5,124.570896,ok
r20260612_134238,simulation,main,ce_off,31,12376,-0.015,0.5,31.014226,ok
r20260612_134238,simulation,main,ce_light,31,12376,-0.015,0.5,95.067420,ok
r20260612_134238,simulation,main,baseline,31,12376,-0.015,0.5,117.649349,ok
r20260612_134238,simulation,main,ce_strong,31,12376,-0.015,0.5,121.066380,ok
r20260612_134238,simulation,main,ce_off,32,12377,-0.015,0.5,30.995754,ok
r20260612_134238,simulation,main,ce_light,32,12377,-0.015,0.5,99.712855,ok
r20260612_134238,simulation,main,baseline,32,12377,-0.015,0.5,110.021247,ok
r20260612_134238,simulation,main,ce_strong,32,12377,-0.015,0.5,126.156465,ok
r20260612_134238,simulation,main,ce_off,33,12378,-0.015,0.5,32.498300,ok
r20260612_134238,simulation,main,ce_light,33,12378,-0.015,0.5,96.936392,ok
r20260612_134238,simulation,main,baseline,33,12378,-0.015,0.5,117.174938,ok
r20260612_134238,simulation,main,ce_strong,33,12378,-0.015,0.5,118.110642,ok
r20260612_134238,simulation,main,ce_off,34,12379,-0.015,0.5,30.405443,ok
r20260612_134238,simulation,main,ce_light,34,12379,-0.015,0.5,101.240150,ok
r20260612_134238,simulation,main,baseline,34,12379,-0.015,0.5,111.079670,ok
r20260612_134238,simulation,main,ce_strong,34,12379,-0.015,0.5,125.422403,ok
r20260612_134238,simulation,main,ce_off,35,12380,-0.015,0.5,31.302414,ok
r20260612_134238,simulation,main,ce_light,35,12380,-0.015,0.5,95.879194,ok
r20260612_134238,simulation,main,baseline,35,12380,-0.015,0.5,119.192722,ok
r20260612_134238,simulation,main,ce_strong,35,12380,-0.015,0.5,123.563360,ok
r20260612_134238,simulation,main,ce_off,36,12381,-0.015,0.5,29.836707,ok
r20260612_134238,simulation,main,ce_light,36,12381,-0.015,0.5,96.354334,ok
r20260612_134238,simulation,main,baseline,36,12381,-0.015,0.5,130.318073,ok
r20260612_134238,simulation,main,ce_strong,36,12381,-0.015,0.5,225.851145,ok
r20260612_134238,simulation,main,ce_off,37,12382,-0.015,0.5,94.702850,ok
r20260612_134238,simulation,main,ce_light,37,12382,-0.015,0.5,199.266436,ok
r20260612_134238,simulation,main,baseline,37,12382,-0.015,0.5,264.713512,ok
r20260612_134238,simulation,main,ce_strong,37,12382,-0.015,0.5,342.861469,ok
r20260612_134238,simulation,main,ce_off,38,12383,-0.015,0.5,98.154259,ok
r20260612_134238,simulation,main,ce_light,38,12383,-0.015,0.5,316.082660,ok
r20260612_134238,simulation,main,baseline,38,12383,-0.015,0.5,222.890292,ok
r20260612_134238,simulation,main,ce_strong,38,12383,-0.015,0.5,120.682120,ok
r20260612_134238,simulation,main,ce_off,39,12384,-0.015,0.5,30.348348,ok
r20260612_134238,simulation,main,ce_light,39,12384,-0.015,0.5,97.402695,ok
r20260612_134238,simulation,main,baseline,39,12384,-0.015,0.5,113.250419,ok
r20260612_134238,simulation,main,ce_strong,39,12384,-0.015,0.5,125.860636,ok
r20260612_134238,simulation,main,ce_off,40,12385,-0.015,0.5,31.614995,ok
r20260612_134238,simulation,main,ce_light,40,12385,-0.015,0.5,98.759998,ok
r20260612_134238,simulation,main,baseline,40,12385,-0.015,0.5,120.405200,ok
r20260612_134238,simulation,main,ce_strong,40,12385,-0.015,0.5,121.732728,ok
r20260612_134238,simulation,main,ce_off,41,12386,-0.015,0.5,30.795492,ok
r20260612_134238,simulation,main,ce_light,41,12386,-0.015,0.5,106.196032,ok
r20260612_134238,simulation,main,baseline,41,12386,-0.015,0.5,114.786673,ok
r20260612_134238,simulation,main,ce_strong,41,12386,-0.015,0.5,122.170735,ok
r20260612_134238,simulation,main,ce_off,42,12387,-0.015,0.5,32.826566,ok
r20260612_134238,simulation,main,ce_light,42,12387,-0.015,0.5,99.875442,ok
r20260612_134238,simulation,main,baseline,42,12387,-0.015,0.5,112.618004,ok
r20260612_134238,simulation,main,ce_strong,42,12387,-0.015,0.5,127.727443,ok
r20260612_134238,simulation,main,ce_off,43,12388,-0.015,0.5,30.607919,ok
r20260612_134238,simulation,main,ce_light,43,12388,-0.015,0.5,98.001200,ok
r20260612_134238,simulation,main,baseline,43,12388,-0.015,0.5,119.803967,ok
r20260612_134238,simulation,main,ce_strong,43,12388,-0.015,0.5,122.730209,ok
r20260612_134238,simulation,main,ce_off,44,12389,-0.015,0.5,30.750329,ok
r20260612_134238,simulation,main,ce_light,44,12389,-0.015,0.5,101.387031,ok
r20260612_134238,simulation,main,baseline,44,12389,-0.015,0.5,116.922851,ok
r20260612_134238,simulation,main,ce_strong,44,12389,-0.015,0.5,126.841667,ok
r20260612_134238,simulation,main,ce_off,45,12390,-0.015,0.5,29.939825,ok
r20260612_134238,simulation,main,ce_light,45,12390,-0.015,0.5,96.571129,ok
r20260612_134238,simulation,main,baseline,45,12390,-0.015,0.5,117.875893,ok
r20260612_134238,simulation,main,ce_strong,45,12390,-0.015,0.5,123.278853,ok
r20260612_134238,simulation,main,ce_off,46,12391,-0.015,0.5,31.156954,ok
r20260612_134238,simulation,main,ce_light,46,12391,-0.015,0.5,99.031343,ok
r20260612_134238,simulation,main,baseline,46,12391,-0.015,0.5,120.703662,ok
r20260612_134238,simulation,main,ce_strong,46,12391,-0.015,0.5,120.072571,ok
r20260612_134238,simulation,main,ce_off,47,12392,-0.015,0.5,31.441514,ok
r20260612_134238,simulation,main,ce_light,47,12392,-0.015,0.5,103.888785,ok
r20260612_134238,simulation,main,baseline,47,12392,-0.015,0.5,113.929233,ok
r20260612_134238,simulation,main,ce_strong,47,12392,-0.015,0.5,125.223192,ok
r20260612_134238,simulation,main,ce_off,48,12393,-0.015,0.5,31.568555,ok
r20260612_134238,simulation,main,ce_light,48,12393,-0.015,0.5,105.279235,ok
r20260612_134238,simulation,main,baseline,48,12393,-0.015,0.5,117.130612,ok
r20260612_134238,simulation,main,ce_strong,48,12393,-0.015,0.5,131.661993,ok
r20260612_134238,simulation,main,ce_off,49,12394,-0.015,0.5,37.323072,ok
r20260612_134238,simulation,main,ce_light,49,12394,-0.015,0.5,111.450915,ok
r20260612_134238,simulation,main,baseline,49,12394,-0.015,0.5,117.916127,ok
r20260612_134238,simulation,main,ce_strong,49,12394,-0.015,0.5,137.104415,ok
r20260612_134238,simulation,main,ce_off,50,12395,-0.015,0.5,31.990487,ok
r20260612_134238,simulation,main,ce_light,50,12395,-0.015,0.5,101.001148,ok
r20260612_134238,simulation,main,baseline,50,12395,-0.015,0.5,128.067338,ok
r20260612_134238,simulation,main,ce_strong,50,12395,-0.015,0.5,125.463224,ok
r20260612_134238,simulation,main,ce_off,51,12396,-0.015,0.5,32.204036,ok
r20260612_134238,simulation,main,ce_light,51,12396,-0.015,0.5,112.993449,ok
r20260612_134238,simulation,main,baseline,51,12396,-0.015,0.5,116.096901,ok
r20260612_134238,simulation,main,ce_strong,51,12396,-0.015,0.5,134.903311,ok
r20260612_134238,simulation,main,ce_off,52,12397,-0.015,0.5,32.063006,ok
r20260612_134238,simulation,main,ce_light,52,12397,-0.015,0.5,100.025428,ok
r20260612_134238,simulation,main,baseline,52,12397,-0.015,0.5,125.839563,ok
r20260612_134238,simulation,main,ce_strong,52,12397,-0.015,0.5,128.356416,ok
r20260612_134238,simulation,main,ce_off,53,12398,-0.015,0.5,31.604401,ok
r20260612_134238,simulation,main,ce_light,53,12398,-0.015,0.5,230.954563,ok
r20260612_134238,simulation,main,baseline,53,12398,-0.015,0.5,329.810216,ok
r20260612_134238,simulation,main,ce_strong,53,12398,-0.015,0.5,125.493420,ok
r20260612_134238,simulation,main,ce_off,54,12399,-0.015,0.5,34.783272,ok
r20260612_134238,simulation,main,ce_light,54,12399,-0.015,0.5,101.988009,ok
r20260612_134238,simulation,main,baseline,54,12399,-0.015,0.5,113.681781,ok
r20260612_134238,simulation,main,ce_strong,54,12399,-0.015,0.5,136.342200,ok
r20260612_134238,simulation,main,ce_off,55,12400,-0.015,0.5,30.780738,ok
r20260612_134238,simulation,main,ce_light,55,12400,-0.015,0.5,97.908244,ok
r20260612_134238,simulation,main,baseline,55,12400,-0.015,0.5,125.336860,ok
r20260612_134238,simulation,main,ce_strong,55,12400,-0.015,0.5,124.448156,ok
r20260612_134238,simulation,main,ce_off,56,12401,-0.015,0.5,31.627781,ok
