scenario,scenario_label,n_runs_with_spatial_npz,last_window_cell_mean_mean,last_window_cell_mean_sd,last_window_crossrep_sd_mean,change_cell_mean,change_cell_sd
baseline,Baseline CE,100,0.01882373414805425,0.06276846016199165,0.0031834978155549755,0.0188106958380709,0.06257022008951582
ce_light,Light CE,100,0.023672897244003586,0.06219024382104116,0.02545125820715397,0.024339575781346313,0.06296176829026522
ce_off,Linear reference,100,0.0,0.0,0.0,0.0,0.0
ce_strong,Targeted CE expansion,100,0.01880284489413538,0.058755686604114794,0.013565533493988471,0.019065872495387447,0.05901477459489941
