run_group,scenario,scenario_label,parameter,parameter_label,parameter_description,metric,metric_label,baseline_last_mean_full_model,min_last_mean,max_last_mean,range_last_mean,relative_sensitivity_score,n_levels
scr_0613_0539,baseline,Baseline CE,gamma_need_savings,$\gamma_{\mathrm{ns}}$,Strength of CE-driven new-product demand reduction,D_resources,K6 economic-resource inequality,0.3881065329196303,0.0002663274477015417,0.7377955123914463,0.7375291849437448,1.900326638397882,6
scr_0613_0539,baseline,Baseline CE,gamma_need_savings,$\gamma_{\mathrm{ns}}$,Strength of CE-driven new-product demand reduction,MEAN_LOCAL_CE_ACTIVATION,K1 mean local CE activation,0.018009254469126015,0.017740415278046623,0.020576712169786376,0.0028362968917397535,0.1574910687786139,6
scr_0613_0539,baseline,Baseline CE,gamma_need_savings,$\gamma_{\mathrm{ns}}$,Strength of CE-driven new-product demand reduction,TRADES_COUNT_M,K3 CE flows,3887.5833333333335,3880.375,3941.7916666666665,61.416666666666515,0.015798160811125346,6
scr_0613_0539,baseline,Baseline CE,gamma_need_savings,$\gamma_{\mathrm{ns}}$,Strength of CE-driven new-product demand reduction,UNEMPLOYMENT,K4 unemployment,0.09071342972874197,0.09031217987129092,0.09071426681093357,0.0004020869396426513,0.004432496229196771,6
scr_0613_0539,baseline,Baseline CE,hotspot_burden_scale,Waste-burden scale,Scale multiplier for ADV_WASTE_PENALTY,CEI_SIM,K2 flow-based citywide CE index,0.6191046847505338,0.6191046847505338,0.6191046847505338,0.0,0.0,5
scr_0613_0539,baseline,Baseline CE,hotspot_burden_scale,Waste-burden scale,Scale multiplier for ADV_WASTE_PENALTY,D_adv_exposure,K5 spatial-advantage exposure inequality,0.17083829604465697,0.10682678427820856,0.4098102254681715,0.3029834411899629,1.77351007608536,5
scr_0613_0539,baseline,Baseline CE,hotspot_burden_scale,Waste-burden scale,Scale multiplier for ADV_WASTE_PENALTY,D_resources,K6 economic-resource inequality,0.3881065329196303,0.3881065329196303,0.3881065329196303,0.0,0.0,5
scr_0613_0539,baseline,Baseline CE,hotspot_burden_scale,Waste-burden scale,Scale multiplier for ADV_WASTE_PENALTY,MEAN_LOCAL_CE_ACTIVATION,K1 mean local CE activation,0.018009254469126015,0.018009254469126015,0.018009254469126015,0.0,0.0,5
scr_0613_0539,baseline,Baseline CE,hotspot_burden_scale,Waste-burden scale,Scale multiplier for ADV_WASTE_PENALTY,TRADES_COUNT_M,K3 CE flows,3887.5833333333335,3887.5833333333335,3887.5833333333335,0.0,0.0,5
scr_0613_0539,baseline,Baseline CE,hotspot_burden_scale,Waste-burden scale,Scale multiplier for ADV_WASTE_PENALTY,UNEMPLOYMENT,K4 unemployment,0.09071342972874197,0.09071342972874197,0.09071342972874197,0.0,0.0,5
