cycle,D_labor_income,D_adv_exposure,D_adv_cell,D_resources,MEAN_ADV_EXPOSURE,MEAN_RESOURCES,MEAN_LABOR_INCOME,MEAN_HOUSEHOLD_SIZE,TOTAL_SYNTHETIC_POPULATION,D_adv,D_wealth,D_employ,TRADES_COUNT_M,TRADES_MASS_M,TRADES,SORT_DROPOFF_COUNT_M,SORT_DROPOFF_MASS_M,SORT_DROPOFF_MASS_KG,BULKY_DROPOFF_COUNT_M,BULKY_DROPOFF_MASS_M,BULKY_DROPOFF_MASS_KG,REPAIRS_COUNT_M,MOVE_COUNT_M,MOVE_RATE_M,HOUSEHOLD_SIZE_CHANGE_COUNT_M,OBSERVED_CE_ACTIONS_M,CE_ACTION_RECOGNITION_OPPORTUNITIES_M,OBSERVED_CE_ACTION_RATE_M,N_HOUSEHOLDS,MEAN_LOCAL_CE_ACTIVATION,CE_INTENSITY,CE_MATERIAL_FLOW_NORM,CE_REPAIR_VISIT_NORM,CEI_SIM,UNEMPLOYMENT,R_gap,P_voice_corr
1,0.9463250132553246,0.13704117126331192,0.17154415530141728,0.30556719548927547,0.4654504986784719,80.858415744369,0.20928757486280794,2.11725,8469.0,0.13704117126331192,0.30556719548927547,0.1075,2080,2652.549820863635,2652.549820863635,2080,2652.549820863635,2652.549820863635,0,0.0,0.0,1675,224,0.056,5,1900,3755,0.5059920106524634,4000,0.0,0.0,0.22104581840528448,0.41875,0.3001274910431707,0.09549808763435244,0.022370129870129873,0.0
2,0.9882910303329204,0.14009304604092312,0.17154415530141728,0.31784846367291814,0.46843898114995547,77.897413161645,0.04490207329137576,2.1185,8474.0,0.14009304604092312,0.31784846367291814,0.1105,2095,3819.7641782346077,3819.7641782346077,2095,3819.7641782346077,3819.7641782346077,0,0.0,0.0,1774,243,0.06075,5,1932,3869,0.49935383820108553,4000,0.002732182023264758,0.002732182023264758,0.3183136815195241,0.4435,0.3683882089117144,0.09447417686632428,0.02471772345301748,0.0
3,0.9875420406378974,0.14246045196554102,0.17154415530141728,0.3311741420782269,0.47080100607899483,74.9659509525741,0.04757545408496898,2.119,8476.0,0.14246045196554102,0.3311741420782269,0.1035,2138,4551.736559413318,4551.736559413318,2138,4551.736559413318,4551.736559413318,0,0.0,0.0,1824,166,0.0415,8,1945,3962,0.4909136799596164,4000,0.005045843788371363,0.005045843788371363,0.3793113799510782,0.456,0.4099868279706469,0.0938501975804403,0.02025859434682964,0.0
4,0.9880642001888347,0.14373333442017583,0.17154415530141728,0.34536327396830296,0.4723487286504749,72.07544325611364,0.046335742623426046,2.1185,8474.0,0.14373333442017583,0.34536327396830296,0.107,2291,5004.825179554981,5004.825179554981,2255,4848.007740902152,4848.007740902152,36,156.81743865283073,156.81743865283073,1924,154,0.0385,10,2139,4215,0.507473309608541,4000,0.006930971697569756,0.006930971697569756,0.41706876496288037,0.481,0.4426412589777282,0.09336038111533408,0.022106187929717303,0.0
5,0.9908115747884254,0.14464930273880763,0.17154415530141728,0.360519069289953,0.4733993174287394,69.22217897633624,0.03324106430674351,2.1185,8474.0,0.14464930273880763,0.360519069289953,0.10925,2501,6005.602096465172,6005.602096465172,2268,4956.279639930932,4956.279639930932,233,1049.322456534238,1049.322456534238,1961,129,0.03225,8,2252,4462,0.5047064096817571,4000,0.008449643481377467,0.008449643481377467,0.5004668413720559,0.49025,0.4963801048232336,0.0925542984276515,0.03131531703590529,0.0
6,0.9924178115465891,0.14534808802002122,0.17154415530141728,0.37625381183934886,0.47422468013879915,66.43143805102532,0.02579855198768068,2.1185,8474.0,0.14534808802002122,0.37625381183934886,0.109,2675,6982.672198577803,6982.672198577803,2288,5196.722430534163,5196.722430534163,387,1785.9497680436336,1785.9497680436336,1932,115,0.02875,8,2326,4607,0.5048838723681355,4000,0.009520889020541103,0.009520889020541103,0.581889349881435,0.483,0.542333609928861,0.09186499585106708,0.02239801375095496,0.0
7,0.9921480176398736,0.14619035495345348,0.17154415530141728,0.3926249635741727,0.4751257665775399,63.705812755302965,0.023516714874836097,2.12025,8481.0,0.14619035495345348,0.3926249635741727,0.1015,2536,6356.74411740652,6356.74411740652,2332,5269.017573656369,5269.017573656369,204,1087.7265437501383,1087.7265437501383,2069,115,0.02875,11,2376,4605,0.5159609120521172,4000,0.01052733119740816,0.01052733119740816,0.5297286764504991,0.51725,0.5247372058702995,0.09212894191194551,0.029134071810542395,0.0
8,0.9927880296549934,0.14733029578911197,0.17154415530141728,0.4094590613850185,0.4763375873422923,61.055321175737596,0.020899277000817316,2.12025,8481.0,0.14733029578911197,0.4094590613850185,0.09825,3127,8550.374329439615,8550.374329439615,2385,5122.32897919551,5122.32897919551,742,3428.045350244104,3428.045350244104,2001,114,0.0285,6,2549,5128,0.4970748829953198,4000,0.011435946935574681,0.011435946935574681,0.7125311941199085,0.50025,0.6276187164719451,0.09058571925292083,0.01175763941940422,0.0
9,0.9935046306696792,0.1478935993706588,0.17154415530141728,0.42668705276272717,0.47709941175369214,58.48304110996056,0.019520558534978173,2.121,8484.0,0.1478935993706588,0.42668705276272717,0.1085,2878,7328.1964104376,7328.1964104376,2457,5179.37764289996,5179.37764289996,421,2148.818767537645,2148.818767537645,2127,139,0.03475,3,2447,5005,0.4889110889110889,4000,0.012356693348884116,0.012356693348884116,0.6106830342030825,0.53175,0.5791098205218494,0.09131335269217226,0.005327349121466707,0.0
10,0.9938518285077305,0.149622597772145,0.17154415530141728,0.44426601474436783,0.47900025708493327,55.99211987479888,0.01769372125213921,2.122,8488.0,0.149622597772145,0.44426601474436783,0.1005,2740,6779.3299605811435,6779.3299605811435,2426,5129.766449471566,5129.766449471566,314,1649.5635111095737,1649.5635111095737,2144,153,0.03825,6,2441,4884,0.4997952497952498,4000,0.013165673258562719,0.013165673258562719,0.5649441633817148,0.536,0.5533664980290289,0.09169950252956457,0.02555042016806719,0.0
11,0.9937208030694825,0.1507098138622288,0.17154415530141728,0.4618343140402314,0.48033953888240505,53.600032624515116,0.018706797975650478,2.1215,8486.0,0.1507098138622288,0.4618343140402314,0.107,2925,7312.4523958443515,7312.4523958443515,2456,5050.190006376564,5050.190006376564,469,2262.2623894678004,2262.2623894678004,2223,147,0.03675,6,2692,5148,0.5229215229215229,4000,0.0139215118658292,0.0139215118658292,0.6093710329869785,0.55575,0.5879226197921871,0.0911811607031172,0.02287012987012993,0.0
