name,address,coordinate,x_rd,y_rd,external_link
Repair Café Amsterdam-Sloten - Oud Osdorp,"Dorpshuis Sloten - Oud Osdorp, Nieuwe Akerweg 14, 1066 ES Amsterdam, Nederland","52.3420301,4.7963456",114734.79951709222,483954.28292047186,
Repair Café Amsterdam-Noord De Meeuw,"Huis van de Wijk De Meeuw, Motorwal 300, 1021 PH Amsterdam, Nederland","52.3846872,4.9180786",123061.1589573216,488639.7852500194,
Repair Café Amsterdam-Zuidoost Gliphoeve,"Geldershoofd 79 (in de timmerwerkplaats), 1103 BG Amsterdam, Nederland","52.3230358,4.9706961",126603.99871381902,481758.3659279426,
Repair Café Muiden,"Constantijn Huygenslaan 1a, 1398 XG Muiden, Nederland","52.3329944,5.067139300000001",133184.00176601595,482832.992627461,
Repair Café Amsterdam-Zuid Amstelhuis,"Ceintuurbaan 480, 1074 JK Amsterdam, Nederland","52.35537189999999,4.904625199999999",122123.52025115566,485384.08887964993,
Repair Café Amsterdam-West De Boeg,"Huis van de buurt De Boeg, Hoofdweg 495a, 1055 AB Amsterdam, Nederland","52.375808,4.846868499999998",118205.75237509093,487685.6273390484,
Repair Café Amsterdam-Oost Afvalpaleis,"Dapperstraat 76, 1093 BX Amsterdam, Nederland","52.36155369999999,4.927973300000001",123718.49002407379,486061.560342373,https://www.jungle.amsterdam/werkplaats-repaircafe
Repair Café Amsterdam-Noord Zonneplein Tuindorp Oostzaan,"Zonneplein 11, 1033 EJ Amsterdam, Nederland","52.4130968,4.8902151",121185.86788063054,491813.3858813751,www.jofelamsterdam.nl
Repair Café Duivendrecht,"Dorpshuis, Dorpsplein 60, 1115 CX Duivendrecht, Nederland","52.3326173,4.9383856",124407.80531717087,482837.5723272918,www.coherente.nl
Repair Café Geuzenveld Amsterdam-West,"Buurthuis Pluspunt, Albardakade 5-7, 1067 DD Amsterdam Geuzenveld, Nederland","52.378172,4.8029369",115216.38795511912,487971.8640762068,
Repair Café Amsterdam-Zuidwest Het Claverhuis,"Het Claverhuis, Elandsgracht 70, 1016 TX Amsterdam, Nederland","52.3699318,4.880792599999999",120511.22310795139,487015.1404989298,
Linux Repair Café Amsterdam-Javaplein,"Maakplaats, OBA, Javaplein 2, 1094 HW Amsterdam, Nederland","52.3642513,4.938873399999999",124462.82377364826,486357.05531652155,
