cycle,D_labor_income,D_adv_exposure,D_adv_cell,D_resources,MEAN_ADV_EXPOSURE,MEAN_RESOURCES,MEAN_LABOR_INCOME,MEAN_HOUSEHOLD_SIZE,TOTAL_SYNTHETIC_POPULATION,D_adv,D_wealth,D_employ,TRADES_COUNT_M,TRADES_MASS_M,TRADES,SORT_DROPOFF_COUNT_M,SORT_DROPOFF_MASS_M,SORT_DROPOFF_MASS_KG,BULKY_DROPOFF_COUNT_M,BULKY_DROPOFF_MASS_M,BULKY_DROPOFF_MASS_KG,REPAIRS_COUNT_M,MOVE_COUNT_M,MOVE_RATE_M,HOUSEHOLD_SIZE_CHANGE_COUNT_M,OBSERVED_CE_ACTIONS_M,CE_ACTION_RECOGNITION_OPPORTUNITIES_M,OBSERVED_CE_ACTION_RATE_M,N_HOUSEHOLDS,MEAN_LOCAL_CE_ACTIVATION,CE_INTENSITY,CE_MATERIAL_FLOW_NORM,CE_REPAIR_VISIT_NORM,CEI_SIM,UNEMPLOYMENT,R_gap,P_voice_corr
1,0.9437107366942566,0.1370832509389353,0.17154415530141728,0.3057409625854057,0.46543758447329897,80.8626062383584,0.21322736588630636,2.118,8472.0,0.1370832509389353,0.3057409625854057,0.103,2099,2725.138438003901,2725.138438003901,2099,2725.138438003901,2725.138438003901,0,0.0,0.0,1812,234,0.0585,6,1956,3911,0.5001278445410381,4000,0.0,0.0,0.22709486983363947,0.453,0.3174569219001837,0.09523814617149726,0.015287937743190705,0.0
2,0.9860997602152881,0.13973716549967366,0.17154415530141728,0.3179768407016295,0.46818051561724067,77.90608677020951,0.047869518668326685,2.11875,8475.0,0.13973716549967366,0.3179768407016295,0.11075,2142,3891.1654048460227,3891.1654048460227,2142,3891.1654048460227,3891.1654048460227,0,0.0,0.0,1856,226,0.0565,3,2061,3998,0.5155077538769385,4000,0.002439666691033134,0.002439666691033134,0.32426378373714154,0.464,0.38015827024228493,0.09429762594636573,0.018432879377431877,0.0
3,0.983923303861942,0.14172553223620607,0.17154415530141728,0.33124526496673584,0.4702258890552985,74.98337941100624,0.05561002943782725,2.12025,8481.0,0.14172553223620607,0.33124526496673584,0.101,2212,4623.673434328664,4623.673434328664,2212,4623.673434328664,4623.673434328664,0,0.0,0.0,1879,167,0.04175,10,1960,4091,0.4791004644341237,4000,0.0051063710979884205,0.0051063710979884205,0.38530611952735655,0.46975,0.4190836717164139,0.0937137449242538,0.020400778210116766,0.0
4,0.9834704417821473,0.14329676498693122,0.17154415530141728,0.3455210346964266,0.4717522120687211,72.10116750279413,0.05486963513716635,2.12075,8483.0,0.14329676498693122,0.3455210346964266,0.0965,2274,4937.2925826487935,4937.2925826487935,2229,4739.532077441124,4739.532077441124,45,197.760505207674,197.760505207674,1928,145,0.03625,6,2104,4202,0.5007139457401237,4000,0.006722811180852569,0.006722811180852569,0.41144104855403185,0.482,0.4396646291324191,0.09340503056301372,0.030348249027237317,0.0
5,0.9889957299351817,0.1446649629404164,0.17154415530141728,0.36066232930912523,0.47325970183796096,69.25084557341773,0.039212878872005,2.1215,8486.0,0.1446649629404164,0.36066232930912523,0.1085,2562,6051.9440216816765,6051.9440216816765,2332,5025.098454976013,5025.098454976013,230,1026.845566705667,1026.845566705667,1953,134,0.0335,9,2285,4515,0.5060908084163898,4000,0.008326525894757412,0.008326525894757412,0.504328668473431,0.48825,0.49789720108405866,0.09253154198373913,0.017570038910505792,0.0
6,0.9923811052169718,0.14559656663325724,0.17154415530141728,0.37641461576783386,0.47448934056816644,66.45552190564356,0.024050864514401703,2.12275,8491.0,0.14559656663325724,0.37641461576783386,0.104,2658,6719.448951942544,6719.448951942544,2288,5014.3864869126555,5014.3864869126555,370,1705.06246502989,1705.06246502989,2030,137,0.03425,9,2336,4688,0.49829351535836175,4000,0.009617695879362759,0.009617695879362759,0.5599540793284987,0.5075,0.5389724475970992,0.09191541328604352,0.024404669260700396,0.0
7,0.9942893067464745,0.1471014857053899,0.17154415530141728,0.39270779084371454,0.47613071105759586,63.72506835506669,0.018150742059095577,2.1235,8494.0,0.1471014857053899,0.39270779084371454,0.10025,2639,6719.132384637939,6719.132384637939,2415,5531.850050852972,5531.850050852972,224,1187.2823337849577,1187.2823337849577,2088,143,0.03575,5,2342,4727,0.4954516606727311,4000,0.010885978224883842,0.010885978224883842,0.5599276987197815,0.522,0.5447566192318689,0.09182865071152198,0.032823929961089515,0.0
8,0.9926773083846292,0.14838281830141561,0.17154415530141728,0.4095236986520174,0.47761607309085985,61.07664490472141,0.024129494773149716,2.12375,8495.0,0.14838281830141561,0.4095236986520174,0.10725,3166,8731.680130949013,8731.680130949013,2397,5188.092483456985,5188.092483456985,769,3543.5876474920137,3543.5876474920137,2088,140,0.035,9,2611,5254,0.4969547011800533,4000,0.011298853510896469,0.011298853510896469,0.7276400109123571,0.522,0.6453840065474142,0.09031923990178879,0.026602140077821024,0.0
9,0.993438130733289,0.14876873072472926,0.17154415530141728,0.4266600398164196,0.4781814809206442,58.50771299386675,0.01908858978098408,2.125,8500.0,0.14876873072472926,0.4266600398164196,0.10525,2844,7272.573705198437,7272.573705198437,2432,5180.261873831171,5180.261873831171,412,2092.3118313672753,2092.3118313672753,2113,107,0.02675,11,2465,4957,0.49727657857575147,4000,0.012205289147460137,0.012205289147460137,0.6060478087664859,0.52825,0.5749286852598915,0.09137606972110163,0.03871887159533083,0.0
10,0.9928053003113059,0.14985291611747845,0.17154415530141728,0.4440455636484039,0.47922944601416795,56.02669385563025,0.019170922932167756,2.12525,8501.0,0.14985291611747845,0.4440455636484039,0.1,2816,6855.364794769935,6855.364794769935,2515,5278.762277991619,5278.762277991619,301,1576.602516778314,1576.602516778314,2175,110,0.0275,5,2483,4991,0.4974954918853937,4000,0.012709526378971363,0.012709526378971363,0.5712803995641136,0.54375,0.5602682397384682,0.09159597640392299,0.015953307392996163,0.0
11,0.9932434269627465,0.15101963769545845,0.17154415530141728,0.4614622111139325,0.4804501111371887,53.640107282896835,0.019487159148541107,2.126,8504.0,0.15101963769545845,0.4614622111139325,0.10275,2946,7553.715163580217,7553.715163580217,2458,5205.024932555025,5205.024932555025,488,2348.690231025211,2348.690231025211,2200,142,0.0355,5,2577,5146,0.5007773027594248,4000,0.01305756832865292,0.01305756832865292,0.6294762636316323,0.55,0.5976857581789794,0.09103471362731531,0.02409824902723734,0.0
12,0.9933730749367132,0.1515219078204648,0.17154415530141728,0.4786807693794107,0.4811345459539541,51.3566996145814,0.018469693925177867,2.12625,8505.0,0.1515219078204648,0.4786807693794107,0.094,3361,8956.749339099011,8956.749339099011,2529,5174.150371402378,5174.150371402378,832,3782.598967696616,3782.598967696616,2246,144,0.036,7,2822,5607,0.5032994471196718,4000,0.013386438998803542,0.013386438998803542,0.7463957782581887,0.5615,0.6724374669549132,0.0899134379956763,0.023509727626459198,0.0
13,0.9942018404650655,0.15267678177369132,0.17154415530141728,0.4955973294346422,0.4825326930996446,49.17321438151028,0.015946169583622903,2.127,8508.0,0.15267678177369132,0.4955973294346422,0.09525,3060,7767.606211033186,7767.606211033186,2487,4987.580414936357,4987.580414936357,573,2780.0257960968265,2780.0257960968265,2252,128,0.032,11,2654,5312,0.4996234939759036,4000,0.013453781690026555,0.013453781690026555,0.6473005175860449,0.563,0.6135803105516269,0.0907962953417256,0.011364785992217907,0.0
14,0.9941039858937959,0.15401295389870953,0.17154415530141728,0.5123707728596621,0.4837851898843934,47.0815466645421,0.017902739110328282,2.12775,8511.0,0.15401295389870953,0.5123707728596621,0.098,2882,6895.516770725809,6895.516770725809,2514,5036.34689207542,5036.34689207542,368,1859.1698786503978,1859.1698786503978,2258,139,0.03475,9,2550,5140,0.4961089494163424,4000,0.013744923081710965,0.013744923081710965,0.5746263975604362,0.5645,0.5705758385362617,0.09144136242195608,0.007836575875486362,0.0
15,0.9933851553070718,0.15479811071772676,0.17154415530141728,0.5284447257851922,0.4847954012508293,45.0972158292281,0.018904225521495514,2.1295,8518.0,0.15479811071772676,0.5284447257851922,0.09775,2779,6240.6392855148215,6240.6392855148215,2540,4995.673274776828,4995.673274776828,239,1244.9660107379989,1244.9660107379989,2308,121,0.03025,21,2566,5087,0.5044230391193237,4000,0.013774943196905266,0.013774943196905266,0.5200532737928585,0.577,0.5428319642757151,0.09185752053586428,0.006530155642023305,0.0
16,0.9941050270470978,0.15545430774226063,0.17154415530141728,0.5439695444788345,0.48559736077821697,43.21078467842851,0.01790118932656981,2.131,8524.0,0.15545430774226063,0.5439695444788345,0.0995,3066,7315.5159561990495,7315.5159561990495,2596,5102.42288080464,5102.42288080464,470,2213.0930753944117,2213.0930753944117,2333,145,0.03625,8,2752,5399,0.5097240229672162,4000,0.01438541936808782,0.01438541936808782,0.6096263296832033,0.58325,0.599075797809922,0.09101386303285118,0.020344357976653682,0.0
17,0.9942273667468174,0.15623514873685468,0.17154415530141728,0.5592014446086899,0.48681149833529114,41.41169715182684,0.0169053270728904,2.13225,8529.0,0.15623514873685468,0.5592014446086899,0.10925,3054,7068.928550236239,7068.928550236239,2593,4917.63758818331,4917.63758818331,461,2151.290962052939,2151.290962052939,2326,156,0.039,5,2666,5380,0.4955390334572491,4000,0.014627397700452406,0.014627397700452406,0.5890773791863041,0.5815,0.5860464275117825,0.09120930358732326,0.015263618677042845,0.0
18,0.9937839414741514,0.15704139024311112,0.17154415530141728,0.5737011652107928,0.4876602015133657,39.709135014415196,0.017836735917493435,2.134,8536.0,0.15704139024311112,0.5737011652107928,0.09575,2979,6779.160606956038,6779.160606956038,2587,4882.5668719794,4882.5668719794,392,1896.5937349766361,1896.5937349766361,2410,138,0.0345,13,2667,5389,0.4948970124327333,4000,0.014186937636730188,0.014186937636730188,0.5649300505796226,0.6025,0.5799580303477736,0.09130062954478341,0.01709046692607008,0.0
